Name,Attribute,Value
Aegis,Defense,5
Ashura,Strength,1
Black Hood,Defense,2
Book of Light,Magic,1
Buckler,Defense,1
Candy Ring,Magic,1
Cat's Bell,Magic,1
Chicken Knife,Defense,3
Chocobo Pocket,Slot,1
Dark Matter,Magic,5
Double Axe,Strength,1
Dragon's Wisker,Magic,1
Drill,Defense,1
Earth Pendant,Heart,1
Elven Mantle,Defense,2
Engetsurin,Strength,2
Faerie Ring,Magic,1
Fang Charm,Strength,1
Flametongue,Strength,2
Galatyn,Magic,7
Gekkabijin,Strength,5
Giant's Glove,Strength,3
Goblin Pocket,Slot,1
Gold Hairpin,Magic,5
Green Beret,Strength,1
Heavy Armband,Strength,3
Helm of Arai,Defense,2
Ice Brand,Strength,2
Kaiser Knuckles,Strength,1
Kris,Magic,3
Loaded Dice,Strength,2
Mage Masher,Magic,1
Mage's Staff,Magic,5
Main Gauche,Defense,2
Maneater,Strength,1
Masamune,Strength,5
Masquerade,Strength,3
Mjollnir,Strength,3
Moogle Pocket,Slot,1
Moon Pendant,Heart,1
Murasame,Strength,4
Noah's Lute,Magic,5
Ogrekiller,Strength,2
Onion Sword,Strength,1
Power Wristband,Strength,1
Rat's Tail,Defense,2
Red Slippers,Magic,3
Ribbon,Magic,9
Ring of Blizzard,Magic,1
Ring of Cure,Magic,1
Ring of Fire,Magic,1
Ring of Life,Magic,1
Ring of Protection,Defense,4
Ring of Thunder,Magic,1
Rune Bell,Magic,3
Rune Staff,Magic,1
Sage's Staff,Magic,3
Sasuke's Blade,Strength,3
Save the Queen,Defense,4
Shuriken,Strength,1
Silver Bracer,Magic,1
Silver Spectacles,Defense,1
Sparkling Bracer,Defense,1
Star Pendant,Heart,1
Sun Pendant,Heart,1
Taotie Motif,Magic,7
Teddy Bear,Defense,2
Tome of Ultima,Magic,10
Twisted Headband,Strength,2
Ultimate Pocket,Slot,1
Winged Cap,Magic,1
Wonder Bangle,Defense,3
Wonder Wand,Magic,3
